insertion mode block,insertion mode flag,count
in head,in head,210143589224
in head,in body,28901918020
in head,in cell,28261246892
in head,after head,851838243
in head,in table body,607618636
in head,in row,442574769
in head,in table,311087430
in head,in caption,456020
in body,in cell,5130305157276
in body,in body,2798210953261
in body,in table,11181834345
in body,in row,9327714828
in body,in table body,9200269562
in body,in caption,692114068
in body,in frameset,41558297
in body,after frameset,38315434
in table,in row,817496341850
in table,in table,614386823340
in table,in table body,343367640897
