phase,insertion mode,token,name,count
initial phase,,DOCTYPE,,5878995631
initial phase,,characters,,4447740640
initial phase,,start tag,html,3646859105
initial phase,,comment,,1741798417
initial phase,,start tag,script,169480981
initial phase,,start tag,head,57437844
initial phase,,start tag,style,36688933
initial phase,,start tag,meta,35404712
initial phase,,start tag,link,32967581
initial phase,,start tag,title,22650517
initial phase,,start tag,other,11721068
initial phase,,start tag,div,10419067
initial phase,,start tag,body,9763207
initial phase,,start tag,br,9264835
initial phase,,start tag,table,7401789
initial phase,,start tag,base,5453719
initial phase,,start tag,center,3938431
initial phase,,start tag,a,3836698
initial phase,,start tag,iframe,3484876
initial phase,,start tag,hr,3385498
initial phase,,start tag,pre,2903545
initial phase,,start tag,noscript,2672245
initial phase,,start tag,form,2618873
initial phase,,start tag,p,2095307
initial phase,,start tag,b,2093680
initial phase,,end of file,,1910317
initial phase,,start tag,font,1263967
initial phase,,start tag,h2,876831
initial phase,,start tag,frameset,837715
initial phase,,start tag,img,621960
initial phase,,start tag,h1,548667
initial phase,,end tag,div,469919
initial phase,,start tag,tr,440506
initial phase,,start tag,object,363634
initial phase,,end tag,html,306011
initial phase,,end tag,head,285505
initial phase,,start tag,li,284970
initial phase,,end tag,td,272639
initial phase,,end tag,other,256014
initial phase,,end tag,center,247885
initial phase,,end tag,body,247494
initial phase,,start tag,h3,241686
initial phase,,end tag,table,235751
initial phase,,end tag,script,220301
initial phase,,start tag,input,189672
initial phase,,start tag,strong,153096
initial phase,,start tag,td,140282
initial phase,,end tag,font,114845
initial phase,,start tag,ul,112238
initial phase,,end tag,p,105909
initial phase,,end tag,pre,100391
initial phase,,start tag,basefont,87446
initial phase,,start tag,h4,73278
initial phase,,start tag,marquee,72907
initial phase,,end tag,form,69371
initial phase,,end tag,style,57040
initial phase,,start tag,big,54424
initial phase,,start tag,embed,53420
initial phase,,start tag,em,50419
initial phase,,start tag,blockquote,49722
initial phase,,start tag,tt,44348
initial phase,,start tag,bgsound,38277
initial phase,,end tag,iframe,35322
initial phase,,start tag,dl,30420
initial phase,,end tag,tr,26473
initial phase,,start tag,i,21834
initial phase,,end tag,a,20051
initial phase,,end tag,title,19504
initial phase,,start tag,u,10773
initial phase,,start tag,ol,10273
initial phase,,end tag,noscript,9772
initial phase,,start tag,h5,9066
initial phase,,start tag,noframes,8432
initial phase,,end tag,ul,8296
initial phase,,start tag,noembed,7338
initial phase,,end tag,b,7338
initial phase,,start tag,small,7011
initial phase,,start tag,frame,5877
initial phase,,start tag,textarea,5055
initial phase,,end tag,object,4635
initial phase,,start tag,h6,4256
initial phase,,start tag,nobr,3597
initial phase,,start tag,plaintext,3044
initial phase,,start tag,menu,2983
initial phase,,start tag,select,2948
initial phase,,end tag,tbody,2905
initial phase,,start tag,address,2873
initial phase,,end tag,li,2760
initial phase,,end tag,marquee,2546
initial phase,,start tag,listing,2474
initial phase,,start tag,param,2190
initial phase,,end tag,strong,2179
initial phase,,end tag,br,2098
initial phase,,start tag,fieldset,2095
initial phase,,end tag,select,1854
initial phase,,start tag,option,1554
initial phase,,start tag,dt,1496
initial phase,,end tag,h1,1235
initial phase,,start tag,tbody,1143
initial phase,,end tag,textarea,1070
initial phase,,start tag,area,914
initial phase,,end tag,i,888
